1049,MAIN1049,CATHOLIC CHARITIES INDIANAPOLIS,NULL,1400 North Meridian Street,NULL,Indianapolis,IN,46202,www.helpcreatehope.org,(317) 236-1500,(317) 261-3375 - Fax
1128,MAIN1128,VIDA NUEVA UNITED METHODIST CHURCH - CENTRO FAMILIAR,NULL,2801 West Washington Street,NULL,Indianapolis,IN,46222,www.vidanuevaindy.org,(317) 638-0796,NULL
1157,MAIN1157,WESTMINSTER NEIGHBORHOOD SERVICES,NULL,445 North State Avenue,NULL,Indianapolis,IN,46201,www.westmin.org,(317) 632-9785 - Main,(317) 632-1936 - Fax
1376,MAIN1376,CENTRAL CHRISTIAN CHURCH,NULL,701 North Delaware Street,NULL,Indianapolis,IN,46204,www.indyccc.org,(317) 635-6397,(317) 635-6398 - Fax
1445,MAIN1445,CHAPEL ROCK CHRISTIAN CHURCH,NULL,2020 North Girls School Road,NULL,Indianapolis,IN,46214,www.chapelrock.org,(317) 767-4309 - Food Pantry (Recording),(317) 247-9739 - Church
1541,MAIN1541,NEW BETHEL MISSIONARY BAPTIST CHURCH,NULL,1535 Dr. Andrew J. Brown Avenue,NULL,Indianapolis,IN,46202,www.newbethelbaptistchurch.org,(317) 636-6622,NULL
1676,MAIN1676,CHRIST CHURCH APOSTOLIC,NULL,6601 North Grandview Drive,NULL,Indianapolis,IN,46260,www.ccaindy.org,(317) 255-8761,NULL
1721,MAIN1721,PROMISE LAND CHRISTIAN COMMUNITY CHURCH,NULL,802 Edgemont Avenue,NULL,Indianapolis,IN,46208,NULL,(317) 924-0855 - Main,(317) 924-2021 - Fax
179,MAIN179,LINWOOD CHRISTIAN CHURCH,NULL,4424 East Michigan Street,NULL,Indianapolis,IN,46201,www.linwoodchristian.org,(317) 357-8771 - Ext.  - Voice-Administration - ,NULL
18332,MAIN18332,CHRIST UNITED METHODIST CHURCH,NULL,8540 US Highway 31 South,NULL,Indianapolis,IN,46227,www.cumc-indy.net,(317) 882-1549,NULL
18356,MAIN18356,GOD'S BOUNTY FOOD PANTRY,NULL,8946 Southeastern Avenue,NULL,Indianapolis,IN,46239,www.godsbounty.org,(317) 210-3663 - Voicemail,NULL
18641,MAIN18641,DIVINE DIRECTION CHRISTIAN CHURCH,NULL,1733 East 46th Street,NULL,Indianapolis,IN,46205,www.divinedirectioncc.org,(317) 225-6695 - Food Pantry,(317) 251-8122 - Church
